Id,label
1,22
2,16
3,16
4,16
5,16
6,6
7,18
8,22
9,18
10,18
11,2
12,6
13,22
14,2
15,18
16,1
17,2
18,6
19,18
20,12
21,2
22,1
23,12
24,12
25,12
26,1
27,16
28,18
29,2
30,2
31,18
32,2
33,6
34,1
35,16
36,2
37,1
38,2
39,1
40,18
41,16
42,22
43,12
44,6
45,12
46,18
47,6
48,22
49,18
50,18
51,16
52,1
53,12
54,12
55,18
56,16
57,22
58,2
59,12
60,18
61,1
62,16
63,6
64,22
65,18
66,12
67,2
68,22
69,16
70,16
71,18
72,6
73,22
74,6
75,18
76,18
77,2
78,22
79,6
80,1
81,12
82,2
83,1
84,18
85,22
86,18
87,1
88,12
89,6
90,2
91,22
92,22
93,22
94,22
95,22
96,22
97,1
98,22
99,22
100,12
101,12
102,2
103,16
104,18
105,16
106,18
107,2
108,2
109,18
110,2
111,1
112,2
113,18
114,1
115,16
116,2
117,2
118,16
119,6
120,18
121,6
122,16
123,22
124,16
125,12
126,16
127,1
128,2
129,22
130,2
131,12
132,22
133,18
134,6
135,12
136,2
137,18
138,2
139,1
140,2
141,22
142,18
143,12
144,2
145,22
146,18
147,6
148,22
149,2
150,6
151,18
152,6
153,1
154,18
155,16
156,6
157,6
158,16
159,2
160,6
161,1
162,6
163,22
164,18
165,16
166,22
167,18
168,18
169,1
170,1
171,6
172,2
173,2
174,16
175,16
176,16
177,22
178,16
179,2
180,1
181,1
182,12
183,1
184,18
185,12
186,22
187,12
188,2
189,18
190,16
191,18
192,1
193,1
194,16
195,6
196,6
197,12
198,1
199,2
200,2
201,1
202,18
203,2
204,2
205,2
206,6
207,1
208,1
209,12
210,12
211,16
212,6
213,16
214,2
215,6
216,6
217,18
218,18
219,12
220,2
221,1
222,1
223,18
224,22
225,6
226,2
227,1
228,1
229,2
230,6
231,6
232,16
233,22
234,6
235,6
236,16
237,12
238,1
239,18
240,22
241,18
242,22
243,2
244,18
245,6
246,22
247,16
248,18
249,18
250,1
251,2
252,18
253,18
254,2
255,6
256,12
257,12
258,2
259,2
260,18
261,2
262,1
263,6
264,22
265,6
266,6
267,6
268,2
269,2
270,18
271,6
272,2
273,22
274,22
275,2
276,6
277,6
278,22
279,22
280,22
281,12
282,12
283,2
284,6
285,2
286,6
287,2
288,18
289,1
290,18
291,12
292,2
293,12
294,16
295,16
296,18
297,1
298,2
299,16
300,16
301,12
302,6
303,12
304,6
305,12
306,6
307,16
308,2
309,2
310,1
311,22
312,6
313,18
314,18
315,6
316,2
317,12
318,16
319,12
320,6
321,1
322,6
323,6
324,16
325,16
326,18
327,18
328,2
329,18
330,2
331,2
332,6
333,18
334,1
335,1
336,1
337,1
338,22
339,2
340,6
341,22
342,2
343,18
344,1
345,18
346,6
347,12
348,12
349,12
350,16
351,6
352,22
353,1
354,22
355,22
356,12
357,12
358,6
359,2
360,22
361,2
362,12
363,22
364,22
365,6
366,22
367,18
368,1
369,12
370,22
371,1
372,12
373,6
374,16
375,2
376,2
377,1
378,1
379,1
380,2
381,1
382,22
383,18
384,6
385,18
386,22
387,2
388,2
389,12
390,2
391,16
392,22
393,2
394,22
395,6
396,16
397,16
398,22
399,2
400,1
401,1
402,2
403,16
404,1
405,2
406,16
407,1
408,22
409,2
410,22
411,1
412,18
413,6
414,6
415,1
416,6
417,12
418,12
419,12
420,2
421,6
422,16
423,6
424,12
425,2
426,6
427,6
428,18
429,22
430,6
431,12
432,16
433,12
434,12
435,18
436,22
437,16
438,2
439,6
440,12
441,2
442,2
443,18
444,22
445,6
446,16
447,18
448,16
449,6
450,6
451,16
452,1
453,22
454,2
455,12
456,2
457,12
458,16
459,6
460,6
461,18
462,18
463,16
464,2
465,18
466,22
467,2
468,12
469,16
470,2
471,1
472,18
473,18
474,6
475,1
476,18
477,16
478,1
479,2
480,2
481,1
482,2
483,16
484,22
485,16
486,6
487,18
488,18
489,2
490,6
491,1
492,12
493,2
494,1
495,12
496,22
497,16
498,18
499,22
500,12
